partialSpoofLehmerFactorization(r=2, k=3, is_even=True, factors=[2, 2])
partialSpoofLehmerFactorization(r=3, k=3, is_even=True, factors=[2, 4, 8])
partialSpoofLehmerFactorization(r=3, k=5, is_even=True, factors=[2, 2, 4])
partialSpoofLehmerFactorization(r=3, k=7, is_even=True, factors=[2, 2, 2])
partialSpoofLehmerFactorization(r=4, k=3, is_even=True, factors=[2, 4, 10, 80])
partialSpoofLehmerFactorization(r=4, k=5, is_even=True, factors=[2, 2, 6, 24])
partialSpoofLehmerFactorization(r=4, k=7, is_even=True, factors=[2, 2, 4, 4])
partialSpoofLehmerFactorization(r=4, k=9, is_even=True, factors=[2, 2, 2, 8])
partialSpoofLehmerFactorization(r=4, k=15, is_even=True, factors=[2, 2, 2, 2])
partialSpoofLehmerFactorization(r=5, k=3, is_even=True, factors=[2, 4, 10, 82, 6560])
partialSpoofLehmerFactorization(r=5, k=3, is_even=True, factors=[2, 4, 10, 92, 670])
partialSpoofLehmerFactorization(r=5, k=3, is_even=True, factors=[2, 4, 10, 100, 422])
partialSpoofLehmerFactorization(r=5, k=3, is_even=True, factors=[2, 4, 10, 112, 290])
partialSpoofLehmerFactorization(r=5, k=5, is_even=True, factors=[2, 2, 6, 26, 624])
partialSpoofLehmerFactorization(r=5, k=5, is_even=True, factors=[2, 2, 8, 12, 384])
partialSpoofLehmerFactorization(r=5, k=9, is_even=True, factors=[2, 2, 2, 10, 80])
partialSpoofLehmerFactorization(r=5, k=11, is_even=True, factors=[2, 2, 2, 4, 32])
partialSpoofLehmerFactorization(r=5, k=17, is_even=True, factors=[2, 2, 2, 2, 16])
partialSpoofLehmerFactorization(r=5, k=19, is_even=True, factors=[2, 2, 2, 2, 6])
partialSpoofLehmerFactorization(r=5, k=21, is_even=True, factors=[2, 2, 2, 2, 4])
partialSpoofLehmerFactorization(r=5, k=31, is_even=True, factors=[2, 2, 2, 2, 2])
partialSpoofLehmerFactorization(r=6, k=3, is_even=True, factors=[2, 4, 10, 82, 6562, 43046720])
partialSpoofLehmerFactorization(r=6, k=3, is_even=True, factors=[2, 4, 10, 82, 12440, 13882])
partialSpoofLehmerFactorization(r=6, k=3, is_even=True, factors=[2, 4, 10, 88, 1120, 9944])
partialSpoofLehmerFactorization(r=6, k=3, is_even=True, factors=[2, 4, 26, 26, 26, 8272])
partialSpoofLehmerFactorization(r=6, k=3, is_even=True, factors=[2, 8, 8, 8, 206, 210944])
partialSpoofLehmerFactorization(r=6, k=5, is_even=True, factors=[2, 2, 6, 26, 626, 390624])
partialSpoofLehmerFactorization(r=6, k=5, is_even=True, factors=[2, 2, 6, 42, 62, 2156])
partialSpoofLehmerFactorization(r=6, k=5, is_even=True, factors=[2, 2, 8, 12, 386, 148224])
partialSpoofLehmerFactorization(r=6, k=5, is_even=True, factors=[2, 2, 8, 12, 404, 8166])
partialSpoofLehmerFactorization(r=6, k=5, is_even=True, factors=[2, 2, 8, 12, 416, 5154])
partialSpoofLehmerFactorization(r=6, k=5, is_even=True, factors=[2, 2, 8, 12, 636, 974])
partialSpoofLehmerFactorization(r=6, k=5, is_even=True, factors=[2, 2, 12, 14, 18, 206])
partialSpoofLehmerFactorization(r=6, k=9, is_even=True, factors=[2, 2, 2, 10, 82, 6560])
partialSpoofLehmerFactorization(r=6, k=9, is_even=True, factors=[2, 2, 2, 10, 92, 670])
partialSpoofLehmerFactorization(r=6, k=9, is_even=True, factors=[2, 2, 2, 10, 100, 422])
partialSpoofLehmerFactorization(r=6, k=9, is_even=True, factors=[2, 2, 2, 10, 112, 290])
partialSpoofLehmerFactorization(r=6, k=11, is_even=True, factors=[2, 2, 2, 4, 34, 1088])
partialSpoofLehmerFactorization(r=6, k=11, is_even=True, factors=[2, 2, 2, 4, 38, 244])
partialSpoofLehmerFactorization(r=6, k=11, is_even=True, factors=[2, 2, 2, 6, 8, 384])
partialSpoofLehmerFactorization(r=6, k=13, is_even=True, factors=[2, 2, 2, 4, 8, 16])
partialSpoofLehmerFactorization(r=6, k=17, is_even=True, factors=[2, 2, 2, 2, 18, 288])
partialSpoofLehmerFactorization(r=6, k=23, is_even=True, factors=[2, 2, 2, 2, 6, 6])
partialSpoofLehmerFactorization(r=6, k=33, is_even=True, factors=[2, 2, 2, 2, 2, 32])
partialSpoofLehmerFactorization(r=6, k=63, is_even=True, factors=[2, 2, 2, 2, 2, 2])
